一级分类,二级分类,品名,最低价,平均价,最高价,规格,产地,单位,发布日期
水果,苹果类,丑苹果,2.8,3.65,4.5,,,斤,2025-12-12 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-12-12 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-12-12 00:00:00
水果,苹果类,丑苹果,2.8,3.65,4.5,,,斤,2025-12-11 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-12-11 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-12-11 00:00:00
水果,进口果,青苹果,13.0,13.25,13.5,,美国,斤,2025-12-10 00:00:00
水果,苹果类,丑苹果,2.8,3.65,4.5,,,斤,2025-12-10 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-12-10 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-12-10 00:00:00
水果,苹果类,丑苹果,2.8,3.65,4.5,,,斤,2025-12-09 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-12-09 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-12-09 00:00:00
水果,苹果类,2.8,3.65,4.5,,,斤,2025-12-08 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-12-08 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-12-08 00:00:00
水果,苹果类,丑苹果,2.8,3.65,4.5,,,斤,2025-12-07 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-12-07 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-12-07 00:00:00
水果,苹果类,丑苹果,2.8,3.65,4.5,,,斤,2025-12-06 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-12-06 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-12-06 00:00:00
水果,苹果类,丑苹果,2.8,3.65,4.5,,,斤,2025-12-05 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-12-05 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-12-05 00:00:00
水果,苹果类,丑苹果,2.8,3.65,4.5,,,斤,2025-12-04 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-12-04 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-12-04 00:00:00
水果,苹果类,丑苹果,2.8,3.3,3.8,,,斤,2025-12-03 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-12-03 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-12-03 00:00:00
水果,苹果类,丑苹果,2.8,3.3,3.8,,,斤,2025-12-02 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-12-02 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-12-02 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-12-01 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-12-01 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-12-01 00:00:00
水果,进口果,青苹果,13.0,13.25,13.5,,美国,斤,2025-11-30 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-30 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-30 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-30 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-29 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-29 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-29 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-28 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-28 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-28 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-27 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-27 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-27 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-26 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-26 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-26 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-25 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-25 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-25 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-24 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-24 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-24 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-23 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-23 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-23 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-22 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-22 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-22 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-21 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-21 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-21 00:00:00
水果,进口果,青苹果,13.0,13.25,13.5,,美国,斤,2025-11-20 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-20 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-20 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-20 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-19 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-19 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-19 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-18 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-18 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-18 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-17 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-17 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-17 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-16 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-16 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-16 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-15 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-15 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-15 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-14 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-14 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-14 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-13 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-13 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-13 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-12 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-12 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-12 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-11 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-11 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-11 00:00:00
水果,进口果,青苹果,13.0,13.25,13.5,,美国,斤,2025-11-10 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-10 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-10 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-10 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-09 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-09 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-09 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-08 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-08 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-08 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-07 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-07 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-07 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-06 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-06 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-06 00:00:00
水果,苹果类,丑苹果,3.5,3.75,4.0,,,斤,2025-11-05 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-05 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-05 00:00:00
水果,苹果类,丑苹果,3.5,3.75,4.0,,,斤,2025-11-04 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-04 00:00:00
水果,苹果类,国光苹果,2.4,2.65,2.9,,,斤,2025-11-04 00:00:00
水果,苹果类,丑苹果,3.5,3.75,4.0,,,斤,2025-11-03 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-03 00:00:00
水果,苹果类,国光苹果,2.4,2.65,2.9,,,斤,2025-11-03 00:00:00
水果,苹果类,丑苹果,3.5,3.75,4.0,,,斤,2025-11-02 00:00:00
水果,苹果类,辽宁寒富苹果,2.7,2.85,3.0,,,斤,2025-11-02 00:00:00
水果,苹果类,国光苹果,2.4,2.7,3.0,,,斤,2025-11-02 00:00:00
水果,苹果类,丑苹果,3.5,3.75,4.0,,,斤,2025-11-01 00:00:00
水果,苹果类,辽宁寒富苹果,2.7,2.85,3.0,,,斤,2025-11-01 00:00:00
水果,苹果类,国光苹果,2.4,2.7,3.0,,,斤,2025-11-01 00:00:00
水果,进口果,青苹果,13.0,13.25,13.5,,美国,斤,2025-10-31 00:00:00
水果,苹果类,丑苹果,3.8,3.9,4.0,,,斤,2025-10-31 00:00:00
水果,苹果类,辽宁寒富苹果,2.7,2.85,3.0,,,斤,2025-10-31 00:00:00
水果,苹果类,国光苹果,2.4,2.7,3.0,,,斤,2025-10-31 00:00:00
水果,苹果类,丑苹果,3.8,3.9,4.0,,,斤,2025-10-30 00:00:00
水果,苹果类,辽宁寒富苹果,2.7,2.85,3.0,,,斤,2025-10-30 00:00:00
水果,苹果类,国光苹果,2.4,2.7,3.0,,,斤,2025-10-30 00:00:00
水果,苹果类,丑苹果,3.8,3.9,4.0,,,斤,2025-10-29 00:00:00
水果,苹果类,辽宁寒富苹果,2.7,2.85,3.0,,,斤,2025-10-29 00:00:00
水果,苹果类,国光苹果,2.4,2.7,3.0,,,斤,2025-10-29 00:00:00
水果,苹果类,丑苹果,3.8,3.9,4.0,,,斤,2025-10-28 00:00:00
水果,苹果类,辽宁寒富苹果,2.7,2.85,3.0,,,斤,2025-10-28 00:00:00
水果,苹果类,国光苹果,2.4,2.7,3.0,,,斤,2025-10-28 00:00:00
水果,苹果类,辽宁寒富苹果,2.7,2.85,3.0,,,斤,2025-10-27 00:00:00
水果,苹果类,国光苹果,2.4,2.7,3.0,,,斤,2025-10-27 00:00:00
水果,苹果类,辽宁寒富苹果,2.7,2.85,3.0,,,斤,2025-10-26 00:00:00
水果,苹果类,国光苹果,2.4,2.7,3.0,,,斤,2025-10-26 00:00:00
水果,苹果类,辽宁寒富苹果,2.7,2.85,3.0,,,斤,2025-10-25 00:00:00
水果,苹果类,国光苹果,2.4,2.7,3.0,,,斤,2025-10-25 00:00:00
水果,苹果类,辽宁寒富苹果,2.7,2.85,3.0,,,斤,2025-10-24 00:00:00
水果,苹果类,国光苹果,2.4,2.7,3.0,,,斤,2025-10-24 00:00:00
水果,苹果类,辽宁寒富苹果,2.7,2.85,3.0,,,斤,2025-10-23 00:00:00
水果,苹果类,国光苹果,2.4,2.7,3.0,,,斤,2025-10-23 00:00:00
水果,苹果类,辽宁寒富苹果,2.7,2.85,3.0,,,斤,2025-10-22 00:00:00
水果,苹果类,国光苹果,2.4,2.7,3.0,,,斤,2025-10-22 00:00:00
水果,苹果类,辽宁寒富苹果,2.7,2.85,3.0,,,斤,2025-10-21 00:00:00
水果,苹果类,国光苹果,2.4,2.7,3.0,,,斤,2025-10-21 00:00:00
水果,进口果,青苹果,13.0,13.25,13.5,,美国,斤,2025-10-20 00:00:00
水果,苹果类,辽宁寒富苹果,2.7,2.85,3.0,,,斤,2025-10-20 00:00:00
水果,苹果类,国光苹果,2.4,2.7,3.0,,,斤,2025-10-20 00:00:00
水果,苹果类,辽宁寒富苹果,2.7,2.85,3.0,,,斤,2025-10-19 00:00:00
水果,苹果类,嘎啦苹果,4.0,4.75,5.5,,,斤,2025-10-19 00:00:00
水果,苹果类,辽宁寒富苹果,2.7,2.85,3.0,,,斤,2025-10-18 00:00:00
水果,苹果类,嘎啦苹果,4.0,4.75,5.5,,,斤,2025-10-18 00:00:00
水果,苹果类,辽宁寒富苹果,2.7,2.85,3.0,,,斤,2025-10-17 00:00:00
水果,苹果类,嘎啦苹果,4.0,4.75,5.5,,,斤,2025-10-17 00:00:00
水果,苹果类,辽宁寒富苹果,2.7,2.85,3.0,,,斤,2025-10-16 00:00:00
水果,苹果类,嘎啦苹果,4.0,4.75,5.5,,,斤,2025-10-16 00:00:00
水果,苹果类,辽宁寒富苹果,2.7,2.8,2.9,,,斤,2025-10-15 00:00:00
水果,苹果类,嘎啦苹果,4.0,4.75,5.5,,,斤,2025-10-15 00:00:00
水果,苹果类,辽宁寒富苹果,2.7,2.8,2.9,,,斤,2025-10-14 00:00:00
水果,苹果类,嘎啦苹果,4.0,4.75,5.5,,,斤,2025-10-14 00:00:00
水果,苹果类,辽宁寒富苹果,2.7,2.8,2.9,,,斤,2025-10-13 00:00:00
水果,苹果类,嘎啦苹果,4.0,4.75,5.5,,,斤,2025-10-13 00:00:00
水果,苹果类,辽宁寒富苹果,2.7,2.8,2.9,,,斤,2025-10-12 00:00:00
水果,苹果类,嘎啦苹果,4.0,4.75,5.5,,,斤,2025-10-12 00:00:00
水果,苹果类,辽宁寒富苹果,2.7,2.8,2.9,,,斤,2025-10-11 00:00:00
水果,苹果类,嘎啦苹果,4.0,4.75,5.5,,,斤,2025-10-11 00:00:00
水果,进口果,青苹果,13.0,13.25,13.5,,美国,斤,2025-10-10 00:00:00
水果,苹果类,辽宁寒富苹果,2.7,2.8,2.9,,,斤,2025-10-10 00:00:00
水果,苹果类,嘎啦苹果,4.0,4.75,5.5,,,斤,2025-10-10 00:00:00
水果,苹果类,辽宁寒富苹果,2.7,2.8,2.9,,,斤,2025-10-09 00:00:00
水果,苹果类,嘎啦苹果,4.0,4.75,5.5,,,斤,2025-10-09 00:00:00
水果,苹果类,嘎啦苹果,4.0,4.75,5.5,,,斤,2025-10-08 00:00:00
水果,苹果类,嘎啦苹果,4.0,4.75,5.5,,,斤,2025-10-07 00:00:00
水果,苹果类,嘎啦苹果,4.0,4.75,5.5,,,斤,2025-10-06 00:00:00
水果,苹果类,嘎啦苹果,4.0,4.75,5.5,,,斤,2025-10-05 00:00:00
水果,苹果类,嘎啦苹果,4.0,4.75,5.5,,,斤,2025-10-04 00:00:00
水果,苹果类,嘎啦苹果,4.0,4.75,5.5,,,斤,2025-10-03 00:00:00
水果,苹果类,嘎啦苹果,4.0,4.75,5.5,,,斤,2025-10-02 00:00:00
水果,苹果类,嘎啦苹果,4.0,4.75,5.5,,,斤,2025-10-01 00:00:00
水果,进口果,青苹果,13.0,13.25,13.5,,美国,斤,2025-09-30 00:00:00
水果,苹果类,嘎啦苹果,4.0,4.75,5.5,,,斤,2025-09-30 00:00:00
水果,苹果类,嘎啦苹果,4.0,4.75,5.5,,,斤,2025-09-29 00:00:00
水果,苹果类,嘎啦苹果,4.0,4.75,5.5,,,斤,2025-09-28 00:00:00
水果,苹果类,嘎啦苹果,4.0,4.75,5.5,,,斤,2025-09-27 00:00:00
水果,苹果类,嘎啦苹果,4.0,4.75,5.5,,,斤,2025-09-26 00:00:00
水果,苹果类,嘎啦苹果,4.0,4.75,5.5,,,斤,2025-09-25 00:00:00
水果,苹果类,嘎啦苹果,4.0,4.75,5.5,,,斤,2025-09-24 00:00:00
水果,苹果类,嘎啦苹果,4.0,4.75,5.5,,,斤,2025-09-23 00:00:00
